remark,"CSV-Import-Export"
remark,"Date = Thu Jul 09 14:11:17 2015"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = SUTD_ITrust"
remark,"Company = SUTD_ITrust"
0.3
TAG,,HMI_P603,"","PMP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P603_MSG,"","PRECONDITION_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P6_PERMISSIVE,"","AUTOINP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P6_STATE,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_PLANT,"","PLANT_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_PLANT_AUTO,"","PLANT_AUTO_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_PLANT_PERMISSIVE,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_PLANT_RESET,"","PLANT_AUTO_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_PSH301,"","SWITCH_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P_NAHSO3_ORP_DUTY,"","Duty2_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P_RO_FEED_DUTY,"","Duty2_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P_UF_FEED_DUTY,"","Duty2_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_START_PLANT,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_STOP_PLANT,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_UV401,"","UV_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_WIFI,"","WIFI_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LIT301_FB,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LIT401_FB,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LIT401_FB_01,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Logix_Status,"","Logix_Status_FP","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LS401_FB,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LSH601_FB,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LSH601_FB_01,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LSH601_FB_02,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LSH602_FB,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LSH603_FB,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
